spawn_point 0:Transform(Location(x=-6.446170, y=-79.055023, z=0.275307), Rotation(pitch=0.000000, yaw=92.004189, roll=0.000000))
spawn_point 200:Transform(Location(x=-145.503876, y=-8.409729, z=0.404872), Rotation(pitch=0.000000, yaw=-89.970146, roll=0.000000))
spawn_point 201:Transform(Location(x=107.897057, y=62.557415, z=0.275305), Rotation(pitch=0.000000, yaw=-0.147430, roll=0.000000))
spawn_point 202:Transform(Location(x=-9.261773, y=155.708832, z=0.275245), Rotation(pitch=0.000000, yaw=89.637466, roll=0.000000))
spawn_point 203:Transform(Location(x=-5.761843, y=161.586685, z=0.275245), Rotation(pitch=0.000000, yaw=89.637466, roll=0.000000))
spawn_point 204:Transform(Location(x=2.184859, y=159.541138, z=0.275307), Rotation(pitch=0.000000, yaw=-90.362541, roll=0.000000))
spawn_point 205:Transform(Location(x=242.366150, y=-10.081800, z=0.275307), Rotation(pitch=0.000000, yaw=-88.606743, roll=0.000000))
spawn_point 206:Transform(Location(x=5.684789, y=153.819000, z=0.275307), Rotation(pitch=0.000000, yaw=-90.362541, roll=0.000000))
spawn_point 207:Transform(Location(x=-13.931132, y=168.728027, z=0.275307), Rotation(pitch=0.000000, yaw=168.900085, roll=0.000000))
spawn_point 208:Transform(Location(x=79.495163, y=-71.614845, z=8.305596), Rotation(pitch=-0.190398, yaw=92.024086, roll=0.000000))
spawn_point 209:Transform(Location(x=83.276306, y=-79.507767, z=8.305596), Rotation(pitch=0.000000, yaw=-87.975883, roll=0.000000))
spawn_point 210:Transform(Location(x=4.926103, y=40.578606, z=0.275307), Rotation(pitch=0.000000, yaw=-88.891235, roll=0.000000))
spawn_point 211:Transform(Location(x=1.426758, y=47.210876, z=0.275307), Rotation(pitch=0.000000, yaw=-88.891235, roll=0.000000))
spawn_point 212:Transform(Location(x=-10.073487, y=51.428509, z=0.275307), Rotation(pitch=0.000000, yaw=89.637466, roll=0.000000))
spawn_point 213:Transform(Location(x=-6.573557, y=43.506363, z=0.275307), Rotation(pitch=0.000000, yaw=89.637466, roll=0.000000))
spawn_point 214:Transform(Location(x=144.755371, y=-135.171249, z=8.305596), Rotation(pitch=0.000000, yaw=-178.772690, roll=0.000000))
spawn_point 215:Transform(Location(x=154.127090, y=-140.758759, z=8.305596), Rotation(pitch=-2.322660, yaw=-89.003517, roll=0.000000))
spawn_point 216:Transform(Location(x=234.769882, y=3.550552, z=0.275307), Rotation(pitch=0.000000, yaw=91.393204, roll=0.000000))
spawn_point 217:Transform(Location(x=150.366135, y=-125.786667, z=8.305596), Rotation(pitch=0.000000, yaw=90.996483, roll=0.000000))
spawn_point 218:Transform(Location(x=-6.446170, y=-42.193752, z=0.275307), Rotation(pitch=0.000000, yaw=92.004189, roll=0.000000))
spawn_point 219:Transform(Location(x=-2.648311, y=-50.371353, z=0.275307), Rotation(pitch=0.000000, yaw=92.004189, roll=0.000000))
spawn_point 220:Transform(Location(x=7.903518, y=-57.529613, z=0.275307), Rotation(pitch=0.000000, yaw=-88.586418, roll=0.000000))
spawn_point 221:Transform(Location(x=4.104583, y=-46.115955, z=0.275307), Rotation(pitch=0.000000, yaw=-88.586418, roll=0.000000))
spawn_point 222:Transform(Location(x=240.817612, y=53.589058, z=0.300000), Rotation(pitch=0.000000, yaw=-88.605339, roll=0.000000))
spawn_point 223:Transform(Location(x=231.270920, y=14.265452, z=0.275307), Rotation(pitch=0.000000, yaw=91.393204, roll=0.000000))
spawn_point 224:Transform(Location(x=225.702789, y=58.746357, z=0.350000), Rotation(pitch=0.000000, yaw=179.852554, roll=0.000000))
spawn_point 225:Transform(Location(x=229.373779, y=93.399391, z=0.650000), Rotation(pitch=0.167927, yaw=91.393204, roll=0.000000))
spawn_point 226:Transform(Location(x=232.972748, y=82.184540, z=0.450000), Rotation(pitch=0.167927, yaw=91.393204, roll=0.000000))
spawn_point 227:Transform(Location(x=244.316589, y=64.273720, z=0.300000), Rotation(pitch=0.000000, yaw=-88.606743, roll=0.000000))
spawn_point 228:Transform(Location(x=-42.350990, y=-2.835118, z=0.275307), Rotation(pitch=0.000000, yaw=-179.705383, roll=0.000000))
spawn_point 229:Transform(Location(x=-40.411064, y=0.685463, z=0.275307), Rotation(pitch=0.000000, yaw=1.666941, roll=0.000000))
spawn_point 230:Transform(Location(x=-10.648787, y=34.001167, z=0.275307), Rotation(pitch=0.000000, yaw=98.624802, roll=0.000000))
spawn_point 231:Transform(Location(x=-9.017538, y=24.410858, z=0.275307), Rotation(pitch=0.000000, yaw=78.624886, roll=0.000000))
spawn_point 232:Transform(Location(x=-21.252514, y=11.105013, z=0.275307), Rotation(pitch=0.000000, yaw=61.806828, roll=0.000000))
spawn_point 233:Transform(Location(x=-20.467728, y=0.351503, z=0.275307), Rotation(pitch=0.000000, yaw=81.806999, roll=0.000000))
spawn_point 234:Transform(Location(x=134.911606, y=-75.612572, z=8.305596), Rotation(pitch=0.000000, yaw=-178.490875, roll=0.000000))
spawn_point 235:Transform(Location(x=149.391281, y=-67.858925, z=8.305599), Rotation(pitch=0.000000, yaw=90.996483, roll=0.000000))
spawn_point 236:Transform(Location(x=153.030273, y=-84.655762, z=8.305627), Rotation(pitch=0.000000, yaw=-89.003517, roll=0.000000))
spawn_point 237:Transform(Location(x=10.139042, y=-146.582535, z=0.275307), Rotation(pitch=0.000000, yaw=-88.586418, roll=0.000000))
spawn_point 238:Transform(Location(x=6.640107, y=-156.768860, z=0.275307), Rotation(pitch=0.000000, yaw=-88.586418, roll=0.000000))
spawn_point 239:Transform(Location(x=-0.865857, y=-116.850845, z=0.275307), Rotation(pitch=0.000000, yaw=91.413536, roll=0.000000))
spawn_point 240:Transform(Location(x=-4.364792, y=-126.337181, z=0.275307), Rotation(pitch=0.000000, yaw=91.413536, roll=0.000000))
spawn_point 241:Transform(Location(x=-11.102114, y=-138.510193, z=0.275307), Rotation(pitch=0.000000, yaw=-178.772690, roll=0.000000))
spawn_point 242:Transform(Location(x=16.876915, y=-134.409973, z=0.400000), Rotation(pitch=1.217140, yaw=1.227265, roll=0.000000))
spawn_point 243:Transform(Location(x=26.509409, y=7.425340, z=0.275307), Rotation(pitch=0.000000, yaw=-13.668415, roll=0.000000))
spawn_point 244:Transform(Location(x=37.282356, y=3.424460, z=0.275307), Rotation(pitch=0.000000, yaw=-13.668415, roll=0.000000))
spawn_point 245:Transform(Location(x=16.030827, y=10.789361, z=0.275307), Rotation(pitch=0.000000, yaw=-58.797039, roll=0.000000))
spawn_point 246:Transform(Location(x=13.723803, y=18.817156, z=0.275307), Rotation(pitch=0.000000, yaw=-38.797035, roll=0.000000))
spawn_point 247:Transform(Location(x=35.548183, y=-7.843905, z=0.275307), Rotation(pitch=0.000000, yaw=-179.144165, roll=0.000000))
spawn_point 248:Transform(Location(x=42.595901, y=-4.344296, z=0.275307), Rotation(pitch=0.000000, yaw=-179.144165, roll=0.000000))
spawn_point 249:Transform(Location(x=52.776279, y=3.684685, z=0.275307), Rotation(pitch=0.000000, yaw=0.855804, roll=0.000000))
spawn_point 250:Transform(Location(x=44.424007, y=7.184294, z=0.275307), Rotation(pitch=0.000000, yaw=0.855804, roll=0.000000))
spawn_point 251:Transform(Location(x=157.299911, y=58.910496, z=0.275307), Rotation(pitch=0.000000, yaw=179.852554, roll=0.000000))
spawn_point 252:Transform(Location(x=167.173080, y=71.142326, z=0.450000), Rotation(pitch=0.362574, yaw=89.989159, roll=0.000000))
spawn_point 253:Transform(Location(x=175.938858, y=62.374382, z=0.575307), Rotation(pitch=0.000000, yaw=-0.147400, roll=0.000000))
spawn_point 254:Transform(Location(x=-100.468056, y=16.266956, z=0.275307), Rotation(pitch=0.000000, yaw=134.676804, roll=0.000000))
spawn_point 255:Transform(Location(x=-97.623611, y=19.079279, z=0.575307), Rotation(pitch=0.000000, yaw=134.676804, roll=0.000000))
spawn_point 256:Transform(Location(x=-95.793716, y=-3.109917, z=0.275307), Rotation(pitch=0.000000, yaw=-179.705399, roll=0.000000))
spawn_point 257:Transform(Location(x=-67.323837, y=0.536519, z=0.275307), Rotation(pitch=0.000000, yaw=0.294601, roll=0.000000))
spawn_point 258:Transform(Location(x=-88.306274, y=21.530605, z=0.350000), Rotation(pitch=0.356591, yaw=89.843613, roll=-0.000000))
spawn_point 259:Transform(Location(x=-84.806297, y=27.021088, z=0.350000), Rotation(pitch=0.356591, yaw=89.843742, roll=-0.000000))
spawn_point 260:Transform(Location(x=-77.887169, y=-8.140573, z=0.275307), Rotation(pitch=-0.348271, yaw=-90.156235, roll=-0.000000))
spawn_point 261:Transform(Location(x=-74.387177, y=-18.550117, z=0.275307), Rotation(pitch=-0.348271, yaw=-90.156235, roll=-0.000000))
spawn_point 262:Transform(Location(x=-67.154907, y=-136.210205, z=0.275307), Rotation(pitch=0.000000, yaw=1.227276, roll=0.000000))
spawn_point 263:Transform(Location(x=-99.620117, y=-140.340103, z=0.700000), Rotation(pitch=0.848767, yaw=-178.772690, roll=0.000000))
spawn_point 264:Transform(Location(x=-85.211014, y=-126.874771, z=0.275307), Rotation(pitch=-0.471802, yaw=89.843742, roll=0.000000))
